month,PM2.5,PM10,SO2,NO2,CO,O3
1,209,268,47,123,5300,13
1,211,248,66,119,5400,16
1,167,192,64,115,4300,12
1,136,159,56,111,4100,9
1,108,121,46,107,3600,7
1,93,108,42,107,3400,7
1,107,126,36,108,4000,7
1,113,126,29,97,3700,7
1,89,94,26,85,2300,7
1,91,116,22,84,2800,6
1,107,130,29,88,3200,8
1,108,129,38,91,2800,11
1,123,147,48,100,3000,14
1,130,145,55,103,2800,17
1,149,166,56,118,2900,18
1,168,188,60,135,3000,16
1,177,197,55,147,3300,12
1,180,214,48,150,3700,9
1,198,238,51,152,3800,8
1,219,270,44,156,4200,9
1,231,274,38,158,4600,9
1,258,313,42,161,5400,10
1,263,318,43,164,5200,10
1,324,385,55,164,7500,14
1,351,391,87,153,7300,17
1,327,355,92,144,7400,16
1,282,292,53,131,6100,12
1,258,262,48,126,5500,12
1,277,287,34,121,7100,15
1,265,269,36,122,7000,14
1,239,241,32,115,6600,11
1,225,237,46,133,7500,11
1,211,225,52,128,6000,11
1,218,246,69,135,5800,12
1,211,216,72,122,4700,14
1,188,188,57,109,3600,20
1,202,202,47,117,3600,22
1,204,205,43,129,3600,21
1,201,201,42,135,3500,19
1,182,189,39,131,3000,18
1,170,185,36,136,3100,11
1,208,228,40,155,3700,10
1,250,266,38,168,4700,12
1,359,411,46,191,5900,13
1,440,492,50,206,7300,14
1,519,561,50,216,7800,13
1,489,513,44,208,7300,12
1,498,527,44,206,7700,13
1,541,582,44,198,8800,15
1,532,565,36,181,8800,13
1,547,578,30,164,9600,14
1,407,407,29,118,6500,9
1,212,212,33,92,4300,6
1,245,245,23,90,4800,8
1,205,205,12,80,3600,6
1,177,177,9,73,2700,6
1,181,181,6,66,2500,8
1,167,167,12,62,2300,14
1,141,141,18,49,1800,26
1,226,229,29,93,4600,21
1,270,270,34,103,4500,19
1,249,249,38,100,3600,23
1,131,131,36,72,1800,39
1,125,125,26,78,1800,35
1,187,188,14,100,2700,11
1,206,206,12,104,3000,7
1,211,211,10,102,2800,7
1,208,208,6,102,2900,7
1,208,208,4,99,3500,8
1,209,209,5,102,3900,8
1,238,238,15,114,4600,9
1,250,250,12,111,4900,9
1,243,244,13,113,4800,9
1,228,228,28,109,4600,10
1,108,108,30,81,1800,13
1,8,8,7,21,600,57
1,9,9,6,24,600,56
1,11,15,6,26,600,55
1,12,23,3,30,600,50
1,12,16,4,26,600,55
1,10,10,2,20,500,62
1,9,11,2,17,500,66
1,12,12,2,16,500,69
1,12,12,3,18,500,67
1,13,13,5,21,500,64
1,14,14,4,25,500,62
1,15,15,5,25,500,63
1,16,18,7,31,600,57
1,19,24,9,41,700,48
1,19,26,11,52,800,39
1,20,20,8,44,700,43
1,14,14,6,42,600,45
1,12,12,4,31,600,53
1,11,11,4,30,600,51
1,13,13,2,29,500,50
1,10,10,2,26,500,51
1,7,7,2,25,500,49
1,6,8,2,20,500,51
1,7,7,2,22,500,47
1,8,8,2,22,500,47
1,7,7,2,22,500,46
1,8,9,4,44,600,26
1,14,14,4,47,700,24
1,14,21,7,35,800,36
1,15,23,7,29,800,43
1,17,20,3,21,800,52
1,14,14,2,17,700,59
1,14,14,2,22,700,56
1,13,13,2,24,700,59
1,15,15,2,33,700,53
1,32,49,9,58,1100,34
1,54,87,17,80,1400,16
1,58,90,19,86,1400,10
1,72,106,19,97,1700,7
1,84,115,19,94,1800,7
1,89,126,20,90,2100,7
1,89,122,21,90,2400,7
1,88,111,16,87,2500,7
1,64,72,17,83,1900,6
1,61,83,19,84,2200,6
1,46,46,16,75,1500,8
1,35,35,10,61,1200,12
1,18,18,6,48,800,27
1,14,14,5,53,800,21
1,18,27,5,72,1000,5
1,29,43,25,74,1700,6
1,42,64,37,70,1900,11
1,42,63,32,58,1600,22
1,24,34,16,27,900,47
1,17,38,9,21,700,57
1,12,25,6,16,500,64
1,11,20,6,15,500,67
1,13,24,5,15,500,69
1,11,30,6,21,400,64
1,12,36,6,25,500,60
1,9,41,6,30,500,56
1,16,36,9,40,700,46
1,16,30,7,36,700,47
1,13,38,7,29,600,50
1,11,28,7,27,500,51
1,10,29,7,26,400,50
1,8,34,8,31,500,42
1,8,38,9,30,500,42
1,9,42,7,26,400,46
1,11,25,6,26,400,46
1,10,12,6,24,400,47
1,10,11,8,21,500,49
1,10,11,6,23,500,47
1,10,13,7,26,500,44
1,12,19,7,34,600,38
1,8,22,5,26,600,45
1,14,26,7,20,600,51
1,10,42,4,13,500,58
1,10,29,3,12,500,62
1,11,19,4,13,500,63
1,10,15,4,13,500,65
1,10,15,6,17,500,63
1,11,16,5,17,400,66
1,7,14,5,21,400,62
1,11,20,8,38,600,46
1,17,23,11,48,700,37
1,19,27,13,55,900,31
1,24,34,15,54,900,30
1,19,26,16,48,700,34
1,17,23,14,37,700,43
1,19,22,13,35,700,43
1,16,22,12,33,700,43
1,14,29,11,29,600,46
1,12,22,9,22,500,51
1,8,39,8,21,400,49
1,8,17,8,24,500,46
1,12,28,9,27,500,44
1,10,29,12,35,600,37
1,15,37,15,43,800,32
1,23,49,12,51,1000,28
1,18,31,11,33,800,45
1,11,15,7,17,500,60
1,7,9,5,14,500,66
1,8,10,6,16,500,65
1,10,11,8,16,500,67
1,14,14,8,18,400,66
1,13,19,10,27,500,59
1,15,39,11,59,1000,29
1,48,89,24,99,1500,8
1,93,126,32,113,2000,7
1,110,137,34,113,2300,7
1,123,151,37,112,2400,7
1,126,144,39,110,2600,7
1,117,133,38,104,2200,7
1,120,135,34,103,2300,6
1,121,158,28,101,3100,6
1,80,81,32,88,2500,8
1,55,55,25,75,1700,9
1,39,39,21,76,1700,6
1,32,32,16,70,1500,8
1,15,15,10,53,900,21
1,15,15,8,51,800,24
1,16,22,9,52,1000,24
1,28,42,17,62,1400,19
1,42,48,18,60,1500,26
1,43,56,20,59,1500,30
1,46,50,29,55,1400,37
1,52,59,32,64,1400,34
1,54,59,27,79,1500,24
1,41,45,17,77,1100,29
1,48,81,26,99,1400,17
1,58,106,24,109,1700,7
1,88,136,30,123,2300,6
1,115,149,36,125,2400,7
1,129,158,41,127,2700,7
1,148,171,41,130,3100,8
1,130,163,38,115,3200,8
1,74,74,32,89,1800,8
1,85,100,46,93,2900,9
1,82,86,29,86,2600,9
1,46,46,17,70,1400,9
1,25,25,6,39,900,32
1,20,22,7,49,900,29
1,22,30,9,62,900,19
1,22,34,10,63,900,19
1,24,37,12,61,1000,22
1,26,39,11,50,1000,34
1,25,32,8,44,800,44
1,28,29,10,41,900,51
1,30,32,13,43,1000,50
1,34,40,17,54,1200,43
1,58,86,32,80,2300,26
1,57,89,30,82,2100,25
1,69,113,33,90,2300,18
1,66,108,28,97,2300,9
1,61,89,29,96,2300,7
1,64,99,32,96,2700,8
1,65,105,25,90,2600,13
1,20,36,2,39,900,46
1,16,25,2,37,800,45
1,17,26,2,45,800,38
1,13,31,2,26,700,52
1,12,28,2,23,600,52
1,10,32,2,25,700,51
1,10,26,2,24,600,50
1,8,31,2,20,600,55
1,6,23,2,21,600,55
1,7,18,2,27,600,49
1,11,18,2,30,700,46
1,13,31,2,30,800,46
1,13,24,2,20,700,57
1,12,23,2,15,700,62
1,12,19,2,14,700,65
1,6,13,2,11,600,69
1,12,14,2,13,600,69
1,9,23,2,17,600,66
1,11,32,2,23,600,61
1,11,30,2,31,800,54
1,15,34,4,45,900,43
1,15,30,2,34,800,51
1,12,41,2,37,800,45
1,17,40,4,42,800,39
1,16,31,4,37,700,42
1,14,28,2,29,700,49
1,14,25,2,28,700,48
1,14,30,12,29,700,46
1,14,22,11,26,500,49
1,11,16,9,25,500,47
1,10,15,10,24,600,49
1,12,18,11,31,600,44
1,12,18,11,38,600,39
1,13,27,10,31,600,44
1,14,25,9,22,600,52
1,15,31,8,20,600,56
1,8,27,6,14,500,63
1,11,22,5,14,600,64
1,14,24,5,16,600,63
1,9,26,5,16,600,64
1,9,30,5,17,400,64
1,9,30,6,22,500,60
1,10,27,7,31,700,53
1,18,35,13,53,1200,35
1,15,36,11,55,1000,30
1,18,38,13,59,1000,25
1,17,35,16,54,900,29
1,15,29,15,44,700,36
1,17,33,14,42,700,37
1,13,24,12,39,700,40
1,12,22,8,34,600,44
1,8,15,8,29,500,48
1,11,14,8,33,500,45
1,9,13,9,32,600,45
1,8,14,9,28,600,51
1,12,23,13,47,600,37
1,14,32,16,73,900,15
1,16,60,17,79,1100,12
1,19,47,16,67,1100,23
1,20,49,17,39,900,47
1,17,32,13,27,800,58
1,12,25,11,21,600,67
1,11,58,11,17,500,70
1,14,68,13,21,500,68
1,13,58,13,23,500,66
1,17,50,17,41,700,50
1,38,74,20,104,1300,8
1,42,83,20,107,1600,5
1,45,79,24,101,1600,8
1,39,71,23,93,1300,8
1,34,62,19,95,1300,6
1,29,52,17,91,1200,5
1,33,54,16,91,1400,5
1,36,62,15,91,1600,5
1,30,52,16,91,1600,5
1,20,34,11,44,700,38
1,14,32,10,33,700,51
1,14,35,11,39,800,47
1,13,33,12,45,700,43
1,24,69,17,81,1600,16
1,66,122,32,103,3200,9
1,69,120,35,102,3200,11
1,82,101,29,95,2000,25
1,91,103,28,89,2000,37
1,96,112,27,73,1700,50
1,99,108,30,68,1600,54
1,75,85,25,58,1200,58
1,46,60,19,51,1000,58
1,42,60,19,62,1000,45
1,82,143,31,122,2100,10
1,97,145,32,130,2200,8
